year;state;statedebt;localdebt;statelocaldebt;gsp;realgrowth;population
2017;California;182072.90;282176.30;464249.20;2702330.00;0.03;39.50
2017;New York;141631.60;212050.10;353681.70;1557580.00;0.02;19.70
2017;Texas;43443.30;229179.00;272622.40;1640540.00;0.03;28.30
2017;Florida;34484.60;146331.60;180816.20;969470.00;0.03;21.00
2017;Illinois;72741.50;82511.70;155253.20;841337.00;0.03;12.80
2017;Pennsylvania;49904.70;76253.30;126158.00;734723.00;0.02;12.80
2017;New Jersey;71876.20;31772.00;103648.10;615229.00;0.02;9.00
2017;Ohio;35788.50;59130.30;94918.80;652973.00;0.02;11.60
2017;Washington;38037.50;53103.60;91141.10;483923.00;0.03;7.40
2017;Massachusetts;72650.80;15499.40;88150.10;517751.00;0.03;6.80
2017;Michigan;35054.10;44797.30;79851.40;505865.00;0.02;9.90
2017;Virginia;27792.00;39402.80;67194.80;517730.00;0.02;8.50
2017;Georgia;14089.40;48898.10;62987.50;541281.00;0.03;10.40
2017;Colorado;18776.40;38345.20;57121.60;337609.00;0.03;5.60
2017;Maryland;27876.30;25753.90;53630.20;392887.00;0.02;6.00
2017;Minnesota;19611.90;32016.40;51628.30;360354.00;0.03;5.60
2017;Missouri;18976.40;30697.10;49673.60;315871.00;0.02;6.10
2017;Indiana;18670.50;30273.60;48944.10;362788.00;0.02;6.70
2017;North Carolina;15923.80;32956.40;48880.20;546580.00;0.03;10.30
2017;Arizona;14993.80;33603.30;48597.10;311810.00;0.02;7.00
2017;Connecticut;36012.50;12554.20;48566.70;277152.00;0.02;3.60
2017;South Carolina;16372.90;29734.30;46107.20;216400.00;0.03;5.00
2017;Wisconsin;21134.00;20371.70;41505.70;331344.00;0.02;5.80
2017;Louisiana;19951.90;21100.90;41052.90;251527.00;0.02;4.70
2017;Kentucky;14889.00;23759.80;38648.80;208954.00;0.02;4.40
2017;Oregon;16134.80;21849.10;37984.00;237050.00;0.03;4.20
2017;Tennessee;5892.60;25706.30;31598.90;341989.00;0.03;6.70
2017;Alabama;8802.20;21931.40;30733.70;219541.00;0.02;4.90
2017;Nevada;3503.90;22526.90;26030.80;154768.00;0.03;3.00
2017;Kansas;6674.20;18937.50;25611.70;155188.00;0.02;2.90
2017;Utah;7993.40;14235.90;22229.30;160017.00;0.03;3.10
2017;Iowa;6799.90;14223.70;21023.60;184757.00;0.02;3.10
2017;Arkansas;6485.70;14173.60;20659.30;130493.00;0.02;3.00
2017;Oklahoma;7876.40;9938.80;17815.20;180364.00;0.02;3.90
2017;District of Columbia;2502.40;15073.20;17575.60;133857.00;0.03;0.70
2017;Nebraska;2093.10;14161.80;16254.90;122114.00;0.03;1.90
2017;Mississippi;7215.90;7242.50;14458.30;113732.00;0.02;3.00
2017;Hawaii;8836.80;5609.20;14446.00;86488.00;0.02;1.40
2017;New Mexico;6104.80;8102.50;14207.30;94003.00;0.02;2.10
2017;West Virginia;9408.50;3571.10;12979.50;76279.00;0.02;1.80
2017;Rhode Island;9283.90;2627.10;11911.10;61409.00;0.02;1.10
2017;New Hampshire;7082.80;2629.10;9711.90;77850.00;0.02;1.30
2017;Maine;5822.10;2922.30;8744.40;60541.00;0.02;1.30
2017;Alaska;5343.50;2542.90;7886.40;51264.00;0.02;0.70
2017;Delaware;4679.10;2466.30;7145.40;73553.00;0.03;1.00
2017;Idaho;3608.40;3256.10;6864.50;69855.00;0.03;1.70
2017;North Dakota;1992.30;4097.40;6089.70;54510.00;0.01;0.80
2017;Montana;3236.80;2423.90;5660.60;49117.00;0.03;1.10
2017;South Dakota;2894.90;2553.70;5448.60;49697.00;0.02;0.90
2017;Vermont;3282.30;1437.30;4719.60;32410.00;0.02;0.60
2017;Wyoming;869.40;1156.30;2025.70;38496.00;0.02;0.60
2016;California;172280.40;276352.00;448632.50;2564830.00;0.02;39.30
2016;New York;139301.80;209728.40;349030.20;1487760.00;0.01;19.70
2016;Texas;42900.30;228031.70;270932.00;1592800.00;0.02;27.90
2016;Florida;34734.00;137586.20;172320.20;920457.00;0.02;20.60
2016;Illinois;70340.70;82214.10;152554.70;802312.00;0.01;12.80
2016;Pennsylvania;49004.80;76988.10;125992.90;705422.00;0.01;12.80
2016;New Jersey;69808.20;31967.60;101775.80;587251.00;0.01;8.90
2016;Ohio;34994.40;56869.90;91864.30;625254.00;0.01;11.60
2016;Massachusetts;72602.40;15856.60;88459.00;493661.00;0.01;6.80
2016;Washington;35513.00;51475.90;86988.90;460649.00;0.02;7.30
2016;Michigan;33846.30;44599.10;78445.40;482617.00;0.01;9.90
2016;Virginia;27607.10;38703.30;66310.40;494845.00;0.01;8.40
2016;Georgia;13791.70;47047.40;60839.10;515041.00;0.01;10.30
2016;Colorado;18159.00;37798.20;55957.10;323456.00;0.02;5.50
2016;Maryland;27288.10;24994.80;52283.00;375417.00;0.01;6.00
2016;Minnesota;18435.70;32136.50;50572.20;344156.00;0.01;5.50
2016;North Carolina;16340.00;32508.40;48848.30;519636.00;0.01;10.10
2016;Indiana;19237.10;29448.20;48685.30;346827.00;0.01;6.60
2016;Missouri;18882.10;29597.50;48479.50;302157.00;0.01;6.10
2016;Arizona;14721.10;33641.50;48362.50;298647.00;0.00;6.90
2016;Connecticut;35039.80;12162.30;47202.10;265550.00;0.00;3.60
2016;South Carolina;15903.40;28998.60;44902.00;206117.00;0.01;5.00
2016;Wisconsin;21286.80;20339.90;41626.70;316200.00;0.01;5.80
2016;Louisiana;19639.80;21000.90;40640.60;244238.00;0.01;4.70
2016;Kentucky;14788.30;24072.70;38861.10;200101.00;0.00;4.40
